,Date,Alderman,Bill_Number,Recusal_Reason,Subject,Title,Type_Of_Legislation
0,05/25/18,Laurino,O2015-3529,N/A,['Handicapped'],Handicapped Parking Permit No. 95465,['ordinance']
1,06/27/18,Burke,O2017-2220,represented parties in previous and unrelated matters,['Map No. 15-P'],Zoning Reclassification Map No. 15-P at 8535 W Higgins Rd - App No. 19173,['ordinance']
2,02/28/18,Burke,O2017-3855,represented parties in previous and unrelated matters,['Map No.  5-H'],Zoning Reclassification Map No. 5-H at 1616-1626 N Damen Ave - App No. 19253,['ordinance']
3,06/27/18,Burke,O2017-6217,represented parties in previous and unrelated matters,['Map No. 20-F'],Zoning Reclassification Map No. 20-F at 8522 S Lafayette Ave - App No. 19373,['ordinance']
4,07/25/18,Burke,O2017-7018,represented parties in previous and unrelated matters,['Map No.  1-F'],"Zoning Reclassification Map No. 1-F at 723-741 W Randolph St, 121-133 N Halsted St and 724-726 W Washington Blvd - App No. 19377",['ordinance']
5,02/28/18,Burke,O2017-8306,represented parties in previous and unrelated matters,['Year 2017'],"Correction of City Council Journal of Proceedings of October 11, 2017 (Special Serice Area No. 13)",['ordinance']
6,04/18/18,Burke,O2017-8409,represented parties in previous and unrelated matters,['Map No.  6-F'],Zoning Reclassification Map No. 6-F at 2260 S Grove St and 2416 S Archer Ave - App No. 19453,['ordinance']
7,01/17/2018,Burke,O2017-8411,represented parties in previous and unrelated matters,['Map No.  5-G'],Zoning Reclassification Map No. 5-G at 1211 W Webster Ave - App No. 19455T1,['ordinance']
8,01/17/2018,Burke,O2017-8469,represented parties in previous and unrelated matters,['License'],"License agreement with Continental Air Transport Co., Inc. d.b.a. Go Airport Express to provide passenger vehicle ground transportation to and from airports",['ordinance']
9,01/17/2018,Burke,O2017-8599,represented parties in previous and unrelated matters,['Redevelopment'],Redevelopment agreement with Presence Health Network for construction of headquarters and neighborhood facilities,['ordinance']
10,01/17/2018,Burke,O2017-8970,represented parties in previous and unrelated matters,['Lease'],Lease agreement with Taylor Street LA LLC for use of building space at 1336 W Taylor St as Chicago Public Library Roosevelt branch,['ordinance']
11,02/28/18,Burke,O2017-8983,represented parties in previous and unrelated matters,['Map No.  1-G'],Zoning Reclassification Map No. 1-G at 159-185 N Green St; 801-813/821-825 W Lake St; 162-184 N Halsted St - App No. 19474,['ordinance']
12,03/28/18,Burke,O2017-8984,represented parties in previous and unrelated matters,['Map No.  1-G'],Zoning Reclassification Map No. 1-G at 352-372 N Green St; 833-857 W Kinzie St; 357-373 N Peoria St; 358-360 N Peoria St; 362 and 363 N Sangamon St; 363 N Morgan St - App No. 19475,['ordinance']
13,02/28/18,Burke,O2017-8996,represented parties in previous and unrelated matters,['Map No.  1-G'],Zoning Reclassification Map No. 1-G at 322-338 N Halsted St/800-856 W Wayman St/323-349 N Peoria St/323-343 N Green St/322-344 N Green St - App No. 19476,['ordinance']
14,02/28/18,Laurino,O2017-9014,N/A,['Map No.  5-H'],Zoning Reclassification Map No. 5-H at 2036 and 2038 W North Ave - Aoo No. 19490T1,['ordinance']
15,03/28/18,Thompson,O2018-1104,N/A,['BONDS & BOND ISSUES'],"Issuance of Chicago O'Hare International Airport General Airport Senior Lien Revenue Refunding Bonds, Series 2018A, Passenger Facility Charge Revenue Bonds, Series 2018A and Passenger Facility Charge Revenue Refunding Bonds, Series 2018B",['ordinance']
16,03/28/18,Burke,O2018-1104,represented parties in previous and unrelated matters,['BONDS & BOND ISSUES'],"Issuance of Chicago O'Hare International Airport General Airport Senior Lien Revenue Refunding Bonds, Series 2018A, Passenger Facility Charge Revenue Bonds, Series 2018A and Passenger Facility Charge Revenue Refunding Bonds, Series 2018B",['ordinance']
17,02/28/18,Burke,O2018-156,represented parties in previous and unrelated matters,['Redevelopment'],Redevelopment agreement with 118 N Aberdeen LLC for renovation of property at 118 N Aberdeen St for use as Chicago Public Library branch and regional office ,['ordinance']
18,02/28/18,Burke,O2018-159,represented parties in previous and unrelated matters,['Sale'],Sale of City-owned property at 1880 W Fullerton Ave to Vienna Beef,['ordinance']
19,02/28/18,Burke,O2018-174,represented parties in previous and unrelated matters,['Map No.  2-G'],Zoning Reclassification Map No. 2-G at 1220 W Van Buren St - App No. 19501,['ordinance']
20,03/28/18,Tunney,O2018-1809,Owner of Ann Sather,['Sidewalk Cafés'],Sidewalk cafe(s) for Ann Sather Restaurant Granville,['ordinance']
21,03/28/18,Tunney,O2018-1812,Owner of Ann Sather,['Sidewalk Cafés'],Sidewalk cafe(s) for Ann Sather's Cafe,['ordinance']
22,05/25/18,Burke,O2018-1865,represented parties in previous and unrelated matters,['Map No. 15-K'],Zoning Reclassification Map No. 15-K at 4025 W Peterson Ave and 4001-4045 W Thorndale Ave - App No. 19560,['ordinance']
23,05/25/18,Burke,O2018-1906,represented parties in previous and unrelated matters,['Map No.  1-E'],Zoning Reclassification Map No. 1-E at 171 N Wabash Ave - App No. 19557,['ordinance']
24,04/18/18,Burke,O2018-2323,represented parties in previous and unrelated matters,['Year 2017'],"Correction of City Council Journal of Proceedings of January 17, 2018",['ordinance']
25,06/27/18,Burke,O2018-2329,represented parties in previous and unrelated matters,['Map No.  8-K'],Zoning Reclassification Map No. 8-K at 4227 W 35th Pl - App No. 19596,['ordinance']
26,04/18/18,Burke,O2018-2347,represented parties in previous and unrelated matters,['Class L'],Support of Class L tax incentive for property(s) at 54 W Hubbard St,['ordinance']
27,04/18/18,Burke,O2018-2395,represented parties in previous and unrelated matters,"['Dedications', 'Vacations']","Dedication of public way(s) in area bounded by S Washtenaw Ave, W 15th St, S Rockwell Ave and W 15th Pl and vacation of portion(s) of public alley, W 15th St, W 15th Pl and S Rockwell St",['ordinance']
28,02/28/18,Burke,O2018-299,represented parties in previous and unrelated matters,['Grants of Privilege'],Grant(s) of privilege in public way for 14th Aldermanic Ward Office,['ordinance']
29,05/25/18,Burke,O2018-3177,represented parties in previous and unrelated matters,['Map No.  6-G'],Zoning Reclassification Map No.  6-G at 3040-3052 S Gratten Ave - App No. 19615T1,['ordinance']
30,05/25/18,Burke,O2018-3238,represented parties in previous and unrelated matters,['Map No.  4-F'],"Zoning Reclassification Map No.  4-F at 122-128 W Cullerton St, 123-127 W 19th St and 1900-1934 S Clark St - App No. 19632",['ordinance']
31,02/28/18,Maldonado,O2018-329,N/A,['Grants of Privilege'],Grant(s) of privilege in public way for El Cid Tacos No. 2,['ordinance']
32,05/25/18,Burke,O2018-3354,represented parties in previous and unrelated matters,['Sale'],Sale of property at 6529-6533 S Stewart Ave and 6530 S Harvard Ave on behalf of Chicago Board of Education,['ordinance']
